user_id,pr_id,interaction_type
U788,P383,wishlist
U591,P427,purchase
U30,P330,purchase
U825,P221,wishlist
U613,P288,view
U417,P511,cart
U440,P200,wishlist
U566,P340,view
U58,P371,wishlist
U676,P517,cart
U42,P65,cart
U144,P488,view
U403,P48,purchase
U473,P139,purchase
U627,P363,view
U43,P78,cart
U584,P444,purchase
U75,P78,view
U576,P41,purchase
U223,P69,wishlist
U58,P358,wishlist
U564,P21,view
U838,P509,purchase
U334,P401,view
U873,P433,view
U613,P177,purchase
U402,P497,cart
U68,P356,purchase
U239,P7,view
U825,P461,view
U260,P65,purchase
U834,P360,view
U757,P29,wishlist
U697,P95,cart
U342,P85,view
U27,P363,wishlist
U135,P68,purchase
U365,P516,wishlist
U634,P192,purchase
U28,P341,wishlist
U874,P484,wishlist
U637,P52,view
U757,P250,wishlist
U619,P262,purchase
U509,P50,cart
U224,P192,purchase
U335,P261,view
U134,P497,wishlist
U242,P331,wishlist
U181,P308,cart
U508,P4,wishlist
U678,P289,view
U300,P51,wishlist
U538,P426,view
U786,P20,view
U755,P200,cart
U868,P2,wishlist
U152,P166,wishlist
U542,P159,wishlist
U234,P252,cart
U232,P204,cart
U462,P363,cart
U154,P232,view
U316,P308,wishlist
U11,P463,wishlist
U171,P470,purchase
U839,P433,cart
U888,P192,view
U353,P398,view
U716,P192,purchase
U165,P499,purchase
U738,P51,cart
U417,P231,purchase
U862,P73,view
U200,P377,purchase
U557,P26,purchase
U497,P221,wishlist
U92,P406,view
U608,P445,cart
U205,P177,cart
U329,P475,wishlist
U127,P105,view
U246,P183,wishlist
U24,P422,cart
U606,P159,wishlist
U885,P52,cart
U277,P159,wishlist
U335,P461,view
U364,P295,wishlist
U843,P309,view
U218,P123,view
U599,P485,wishlist
U380,P8,wishlist
U664,P139,purchase
U218,P118,wishlist
U865,P26,view
U876,P232,cart
U272,P478,view
U889,P446,wishlist
U644,P257,purchase
U815,P68,cart
U707,P204,wishlist
U349,P51,purchase
U534,P262,wishlist
U335,P257,wishlist
U10,P292,cart
U713,P107,purchase
U727,P428,wishlist
U642,P58,purchase
U248,P430,purchase
U588,P194,view
U567,P136,wishlist
U539,P249,purchase
U619,P48,view
U358,P38,view
U802,P10,purchase
U610,P267,view
U431,P356,view
U551,P37,cart
U112,P442,view
U753,P191,view
U158,P239,view
U759,P279,view
U27,P293,view
U150,P499,view
U697,P288,wishlist
U759,P414,view
U818,P195,view
U178,P65,wishlist
U747,P105,view
U336,P450,purchase
U268,P327,wishlist
U763,P204,wishlist
U753,P220,view
U558,P179,wishlist
U610,P293,view
U729,P235,purchase
U128,P278,wishlist
U186,P335,wishlist
U152,P118,wishlist
U655,P204,view
U531,P200,view
U510,P427,cart
U759,P182,view
U541,P165,wishlist
U44,P461,view
U725,P185,purchase
U370,P195,purchase
U864,P315,view
U780,P387,purchase
U312,P127,purchase
U834,P328,purchase
U98,P436,cart
U268,P278,purchase
U605,P278,view
U716,P200,cart
U182,P185,purchase
U200,P403,cart
