user_id,pr_id,total_scores
U1,P122,65.0
U1,P124,3.0
U1,P13,5.0
U1,P140,3.0
U1,P144,30.0
U1,P149,38.0
U1,P161,6.0
U1,P174,6.0
U1,P2,33.0
U1,P206,0.5
U1,P207,33.0
U1,P240,5.0
U1,P255,3.5
U1,P321,30.0
U1,P339,30.0
U1,P37,3.0
U1,P376,0.5
U1,P379,3.0
U1,P387,30.0
U1,P391,3.0
U1,P398,30.0
U1,P41,1.0
U1,P451,3.5
U1,P495,0.5
U1,P503,0.5
U1,P547,0.5
U1,P55,5.0
U1,P590,3.0
U1,P615,8.5
U1,P631,5.5
U1,P632,6.0
U1,P645,0.5
U1,P86,5.0
U10,P107,0.5
U10,P122,3.0
U10,P124,5.0
U10,P13,3.0
U10,P161,30.0
U10,P164,30.0
U10,P176,0.5
U10,P242,3.0
U10,P244,5.0
U10,P247,5.0
U10,P254,3.0
U10,P278,5.0
U10,P28,3.0
U10,P306,3.0
U10,P339,5.0
U10,P34,3.0
U10,P378,30.0
U10,P387,0.5
U10,P396,3.0
U10,P411,3.0
U10,P415,3.0
U10,P422,0.5
U10,P479,5.0
U10,P49,5.0
U10,P558,3.0
U10,P559,3.0
U10,P621,30.5
U10,P69,0.5
U101,P128,5.0
U101,P152,0.5
U101,P190,8.0
U101,P240,0.5
U101,P241,30.0
U101,P243,0.5
U101,P259,1.0
U101,P262,5.0
U101,P264,3.0
U101,P278,0.5
U101,P28,30.0
U101,P297,5.0
U101,P339,3.0
U101,P34,8.0
U101,P372,0.5
U101,P380,3.0
U101,P387,6.0
U101,P415,3.0
U101,P417,35.0
U101,P42,3.0
U101,P422,5.0
U101,P451,0.5
U101,P479,30.0
U101,P486,3.0
U101,P530,30.5
U101,P544,3.0
U101,P546,30.0
U101,P575,33.5
U101,P615,5.0
U101,P621,30.0
U101,P627,60.0
U101,P628,30.0
U101,P631,3.0
U101,P636,30.0
U101,P647,0.5
U101,P648,3.0
U101,P69,0.5
U101,P80,5.0
U101,P92,8.5
U103,P103,35.0
U103,P107,30.0
U103,P141,3.0
U103,P160,3.0
U103,P180,1.5
U103,P198,30.0
U103,P2,5.5
U103,P217,3.0
U103,P221,0.5
U103,P241,3.5
U103,P243,1.0
U103,P278,33.0
U103,P299,5.5
U103,P303,8.0
U103,P312,3.0
U103,P323,5.0
U103,P471,5.5
U103,P497,0.5
U103,P511,13.0
U103,P548,30.0
U103,P55,3.0
U103,P550,1.0
U103,P558,30.0
U103,P575,8.0
U103,P593,30.0
U103,P61,35.0
U103,P632,5.0
U103,P71,5.0
U103,P81,5.0
U104,P107,10.0
U104,P136,3.0
U104,P141,3.5
U104,P142,3.0
U104,P167,0.5
U104,P170,3.0
U104,P173,5.0
U104,P180,3.0
U104,P185,5.0
U104,P198,0.5
U104,P217,36.0
U104,P236,3.0
U104,P241,30.0
U104,P243,3.0
U104,P244,0.5
U104,P247,0.5
U104,P268,0.5
U104,P278,30.0
U104,P315,4.0
U104,P33,3.0
U104,P349,5.0
U104,P352,3.0
U104,P360,30.0
U104,P361,0.5
U104,P378,3.0
U104,P387,6.5
U104,P396,0.5
U104,P4,0.5
U104,P425,3.0
U104,P432,3.0
U104,P471,3.5
U104,P49,30.5
U104,P511,70.0
U104,P548,3.0
U104,P550,30.0
U104,P572,3.0
U104,P575,3.0
U104,P594,5.0
U104,P6,30.0
U104,P61,3.5
U104,P647,5.0
U104,P68,68.0
U104,P79,37.0
U104,P81,5.0
U105,P17,0.5
U105,P2,3.0
U105,P241,30.0
U105,P303,30.0
U105,P315,3.0
U105,P396,5.0
U105,P43,0.5
U105,P432,0.5
U105,P511,3.0
U105,P550,5.5
U105,P554,3.0
U105,P81,0.5
U106,P103,8.0
U106,P108,3.0
U106,P136,6.0
U106,P141,0.5
U106,P17,3.0
U106,P176,0.5
U106,P185,3.5
U106,P198,0.5
U106,P327,5.0
U106,P372,3.0
U106,P378,3.0
U106,P417,0.5
U106,P474,0.5
U106,P479,5.0
U106,P49,8.0
U106,P525,30.0
U106,P69,5.0
U106,P79,3.0
U106,P81,1.0
U110,P103,0.5
U110,P122,30.0
