pr_id,pr_category,pr_label,pr_cost,pr_rating
P172,daily_essential,shampoo,25,4.4
P116,electronics,charger,1610,3.8
P165,electronics,charger,5693,4.1
P452,electronics,charger,1601,4.4
P491,electronics,headphones,1289,3.9
P200,daily_essential,detergent,481,4.2
P65,grocery,sugar,182,3.5
P150,electronics,powerbank,1968,3.1
P95,grocery,oil,276,4.2
P118,grocery,missing,830,4.0
P287,electronics,powerbank,6716,4.5
P508,daily_essential,shampoo,703,3.1
P476,grocery,missing,924,4.0
P372,fashion,jeans,2891,4.4
P427,fashion,jacket,2547,3.7
P316,electronics,powerbank,6041,3.5
P192,luxury,missing,5906,4.5
P413,luxury,watch,1225,4.1
P292,daily_essential,toothpaste,734,4.9
P7,daily_essential,detergent,613,4.5
P325,grocery,wheat-flour,918,3.3
P1,grocery,rice,231,3.1
P93,luxury,perfume,11387,3.1
P68,fashion,tshirt,2002,3.9
P78,electronics,smartwatch,6199,4.7
P143,fashion,jacket,2562,4.3
P45,daily_essential,shampoo,79,4.5
P371,luxury,perfume,10297,4.4
P374,fashion,jacket,1857,4.4
P445,daily_essential,toothpaste,331,4.1
P40,luxury,sunglasses,6225,4.6
P454,luxury,sunglasses,7301,4.8
P481,grocery,missing,94,4.6
P406,fashion,tshirt,1610,3.3
P449,fashion,sneakers,1641,3.7
P71,daily_essential,shampoo,51,4.8
P153,fashion,jeans,2735,3.4
P204,electronics,headphones,4113,3.5
P208,fashion,jeans,2210,4.8
P247,electronics,charger,1166,3.1
P203,daily_essential,toothpaste,737,4.8
P72,fashion,sneakers,2401,3.1
P488,daily_essential,soap,434,4.9
P14,luxury,perfume,6507,4.7
P226,luxury,watch,8100,3.8
P235,luxury,perfume,10734,4.2
P179,grocery,missing,339,4.6
P478,daily_essential,toothpaste,179,3.6
P487,daily_essential,toothpaste,982,3.3
P194,electronics,headphones,4593,4.0
P53,grocery,wheat-flour,382,4.6
P146,grocery,sugar,63,3.3
P359,electronics,powerbank,3116,3.5
P92,grocery,sugar,765,4.7
P167,fashion,jeans,2714,4.2
P421,fashion,tshirt,2132,3.6
P436,daily_essential,shampoo,929,4.8
P353,luxury,missing,13701,4.7
P276,luxury,missing,1258,4.6
P439,daily_essential,detergent,31,4.5
P430,daily_essential,toothpaste,71,3.4
P246,grocery,wheat-flour,399,4.0
P499,electronics,smartwatch,2072,3.7
P58,luxury,sunglasses,7358,3.2
P129,daily_essential,shampoo,936,4.0
P130,grocery,sugar,894,3.8
P328,grocery,missing,270,3.5
P365,electronics,smartwatch,5747,4.0
P435,luxury,watch,4700,3.9
P241,daily_essential,detergent,581,3.8
P177,daily_essential,toothpaste,666,3.2
P166,daily_essential,toothpaste,231,4.6
P52,electronics,missing,7769,4.8
P516,fashion,sneakers,2906,4.0
P231,grocery,oil,202,3.3
P293,daily_essential,soap,511,4.2
P338,daily_essential,toothpaste,261,3.6
P20,grocery,rice,622,4.7
P36,grocery,wheat-flour,692,3.9
P230,grocery,missing,319,4.8
P426,grocery,wheat-flour,305,4.3
P428,fashion,jacket,2449,3.4
P382,grocery,sugar,306,3.3
P376,daily_essential,soap,16,4.5
P109,grocery,rice,882,3.7
P385,fashion,jeans,2027,4.2
P218,luxury,missing,13362,3.6
P113,electronics,headphones,4672,4.8
P504,luxury,watch,4032,3.8
P506,fashion,jacket,1245,3.5
P175,daily_essential,shampoo,330,4.1
P501,electronics,charger,838,4.1
P185,grocery,oil,70,4.6
P115,luxury,missing,10400,3.8
P484,luxury,watch,3367,3.9
P120,luxury,watch,11825,4.9
P27,luxury,missing,6698,3.1
P19,luxury,watch,7118,4.1
P474,grocery,rice,390,3.7
P18,luxury,perfume,11558,3.7
P234,daily_essential,soap,50,3.2
P195,fashion,jeans,791,4.6
P201,electronics,missing,7954,3.6
P284,electronics,headphones,5332,4.7
P310,grocery,wheat-flour,712,3.3
P400,daily_essential,shampoo,941,4.4
P34,daily_essential,detergent,687,3.0
P446,fashion,jacket,1851,3.6
P493,grocery,oil,113,4.6
P507,electronics,missing,6576,3.4
P496,luxury,missing,13882,4.0
P510,fashion,jeans,1326,4.2
P463,fashion,jacket,1756,4.7
P401,electronics,powerbank,5310,3.2
P220,fashion,sneakers,878,3.9
P362,luxury,perfume,14130,3.8
P206,luxury,sunglasses,8231,3.1
P318,luxury,watch,7047,3.9
P9,grocery,rice,690,4.0
P212,daily_essential,toothpaste,401,3.3
P126,fashion,jeans,735,4.3
P357,luxury,watch,2470,4.7
P28,luxury,sunglasses,1008,3.3
P278,fashion,sneakers,2539,4.5
P25,fashion,sneakers,2167,3.9
P159,luxury,missing,6088,4.4
P162,grocery,missing,350,3.3
P62,grocery,rice,249,3.2
P251,luxury,watch,1412,4.0
P149,fashion,tshirt,2883,3.1
P315,daily_essential,soap,489,3.8
P137,fashion,sneakers,1494,4.7
P409,electronics,headphones,4260,4.2
P321,grocery,missing,676,3.7
P380,grocery,wheat-flour,579,3.2
P444,fashion,tshirt,1084,4.8
P196,fashion,jeans,2834,3.8
P21,grocery,sugar,65,4.2
P50,grocery,rice,127,3.5
P48,grocery,missing,799,3.4
P416,electronics,missing,5641,4.5
P414,luxury,missing,9437,3.7
P407,fashion,tshirt,774,3.9
P124,daily_essential,shampoo,875,4.8
P250,grocery,sugar,831,4.8
P57,daily_essential,soap,915,4.0
P489,grocery,oil,639,3.1
P86,electronics,charger,3073,3.8
P383,grocery,rice,141,3.7
P26,luxury,sunglasses,8842,4.7
P217,luxury,sunglasses,5997,3.9
P517,luxury,watch,7075,4.7
P283,grocery,oil,267,3.4
P518,grocery,missing,906,3.4
P344,luxury,perfume,1790,3.5
P24,electronics,headphones,7112,3.0
P341,daily_essential,shampoo,939,4.8
P111,grocery,oil,321,3.8
P502,fashion,tshirt,2934,3.0
P232,luxury,perfume,14190,4.3
P211,fashion,jacket,1058,4.7
P377,fashion,jacket,2751,4.4
P302,luxury,missing,4369,4.8
P8,daily_essential,detergent,250,4.7
P243,electronics,headphones,6804,4.8
P75,daily_essential,soap,190,4.8
P320,daily_essential,toothpaste,98,3.1
P176,grocery,sugar,982,4.3
P330,daily_essential,soap,240,3.7
P295,luxury,missing,4131,4.1
P424,electronics,headphones,499,3.5
P64,grocery,missing,970,3.2
P41,electronics,headphones,5520,3.8
P107,electronics,charger,2397,4.1
P105,grocery,oil,784,4.5
P505,electronics,powerbank,4007,4.2
P222,daily_essential,detergent,116,3.2
P336,daily_essential,detergent,686,4.4
P319,daily_essential,soap,864,3.5
P288,grocery,sugar,323,3.1
P453,grocery,rice,504,3.9
P306,daily_essential,toothpaste,351,3.4
P408,fashion,jacket,2872,4.9
P157,electronics,headphones,6293,3.3
P85,luxury,missing,5539,4.4
P360,electronics,missing,6857,4.6
P97,grocery,sugar,460,3.6
P2,fashion,tshirt,963,3.3
P224,grocery,wheat-flour,569,4.4
P342,daily_essential,soap,634,4.1
P99,daily_essential,toothpaste,959,4.6
P419,fashion,sneakers,2722,4.7
P327,luxury,perfume,10238,3.1
P102,luxury,perfume,7486,3.6
P190,grocery,missing,533,3.5
P240,luxury,missing,6862,3.6
P412,luxury,missing,13573,4.2
P73,grocery,missing,674,3.9
P468,daily_essential,shampoo,851,3.7
P13,electronics,missing,4345,4.6
P54,daily_essential,toothpaste,428,3.3
P163,daily_essential,detergent,978,4.1
P168,fashion,sneakers,2080,3.3
P461,electronics,charger,5166,4.0
P450,grocery,sugar,552,4.4
P178,daily_essential,toothpaste,31,3.4
P384,electronics,charger,1578,4.4
P117,electronics,missing,3126,3.7
P136,electronics,missing,7572,4.7
P285,fashion,sneakers,1076,4.6
P180,luxury,missing,1161,4.8
P141,luxury,sunglasses,8568,4.9
P335,daily_essential,detergent,234,4.5
P317,fashion,jacket,2001,3.1
P398,daily_essential,shampoo,123,4.6
P417,grocery,oil,882,4.4
P197,electronics,missing,3449,4.2
P448,luxury,perfume,7599,4.6
P294,electronics,charger,5544,4.5
P4,daily_essential,soap,624,4.4
P139,luxury,sunglasses,5401,4.5
P386,daily_essential,shampoo,998,4.6
P381,fashion,tshirt,2413,3.9
P351,luxury,sunglasses,12155,4.7
P358,fashion,jeans,2669,4.8
P151,electronics,headphones,2279,4.3
P63,luxury,watch,7425,3.9
P10,luxury,watch,6196,3.0
P339,luxury,watch,13965,4.7
P286,grocery,wheat-flour,612,3.4
P81,daily_essential,shampoo,176,4.7
P422,luxury,missing,13149,3.1
P363,luxury,missing,8955,3.2
P477,daily_essential,shampoo,710,4.2
P509,daily_essential,shampoo,476,3.2
P396,luxury,watch,12846,4.9
P460,electronics,headphones,7602,3.1
P6,electronics,missing,4704,3.0
P470,luxury,sunglasses,4842,4.3
P423,daily_essential,toothpaste,649,4.3
P252,fashion,jacket,1164,4.3
P209,daily_essential,shampoo,900,3.9
P404,electronics,missing,3520,3.1
P38,electronics,headphones,5591,4.4
P411,electronics,charger,3281,3.1
P191,fashion,jacket,2974,3.4
P37,grocery,missing,814,3.7
P219,luxury,watch,6236,4.5
P205,electronics,charger,3875,4.0
P254,daily_essential,toothpaste,588,4.6
P289,electronics,charger,598,4.5
P441,daily_essential,toothpaste,149,3.3
P418,daily_essential,toothpaste,144,3.1
P366,fashion,sneakers,964,3.4
P479,fashion,sneakers,1941,4.5
P326,luxury,watch,2978,3.3
P483,fashion,tshirt,1082,4.9
P511,luxury,perfume,2448,4.5
P87,luxury,sunglasses,6785,3.2
P433,luxury,missing,8182,3.1
P392,grocery,missing,924,4.0
P46,electronics,headphones,2915,3.2
P3,luxury,sunglasses,6750,3.9
P207,daily_essential,soap,243,3.8
P485,daily_essential,toothpaste,28,4.0
P140,grocery,rice,299,3.3
P132,luxury,missing,12664,4.5
P112,electronics,powerbank,7417,3.2
P520,fashion,tshirt,1601,4.2
P356,grocery,missing,249,4.9
P32,luxury,missing,11310,3.6
P495,luxury,missing,10352,3.1
P410,luxury,perfume,2315,3.6
P44,electronics,powerbank,2821,4.0
P303,daily_essential,soap,604,4.6
P69,fashion,jeans,1775,3.4
P442,grocery,rice,333,4.4
P309,grocery,oil,748,4.6
P265,daily_essential,detergent,574,3.3
P182,luxury,perfume,8921,4.1
P90,fashion,jacket,1935,3.5
P134,luxury,sunglasses,10327,4.8
P103,grocery,wheat-flour,924,4.1
P263,electronics,charger,6505,4.0
P391,luxury,perfume,2783,3.9
P39,daily_essential,shampoo,170,4.4
P308,grocery,wheat-flour,692,4.6
P23,electronics,missing,1395,3.8
P100,electronics,missing,2597,4.7
P455,luxury,sunglasses,14080,3.0
P152,daily_essential,shampoo,495,3.1
P355,electronics,missing,2117,4.7
P51,daily_essential,toothpaste,880,4.4
P147,electronics,headphones,4122,3.9
P35,grocery,missing,60,3.0
P361,electronics,headphones,2668,4.3
P402,daily_essential,toothpaste,293,4.6
P223,electronics,missing,6984,4.8
P298,luxury,missing,2307,4.2
P123,grocery,sugar,437,3.7
P475,luxury,watch,14128,3.5
P49,daily_essential,soap,159,4.7
P22,electronics,smartwatch,2161,4.7
P187,electronics,missing,923,4.2
P239,fashion,jeans,2236,3.1
P290,daily_essential,detergent,676,4.3
P173,fashion,jeans,1780,4.3
P221,daily_essential,shampoo,699,3.6
P77,luxury,perfume,10471,4.5
P267,fashion,tshirt,957,3.9
P158,fashion,sneakers,2890,3.7
P497,daily_essential,detergent,863,3.1
P66,grocery,missing,427,4.2
P183,luxury,missing,2308,4.2
P277,grocery,missing,705,3.2
P154,luxury,watch,6383,4.8
P233,grocery,rice,324,3.5
P80,electronics,charger,5707,3.3
P503,grocery,rice,722,4.5
P94,daily_essential,detergent,772,4.4
P261,luxury,watch,10600,3.9
P340,grocery,missing,362,4.7
P170,grocery,rice,429,3.9
P98,luxury,watch,10200,3.5
P138,daily_essential,toothpaste,954,3.2
P156,luxury,missing,11900,3.4
P311,electronics,powerbank,5009,3.0
P395,electronics,missing,5091,4.8
P257,daily_essential,shampoo,790,3.4
P236,grocery,sugar,406,4.7
P262,electronics,headphones,7559,3.4
P17,daily_essential,toothpaste,423,3.2
P322,daily_essential,detergent,757,3.1
P324,electronics,smartwatch,2683,4.1
P403,luxury,perfume,1266,4.9
P15,electronics,headphones,7811,4.0
P513,luxury,sunglasses,9933,3.7
P244,fashion,jacket,2915,3.0
P133,fashion,jeans,2108,4.1
P299,electronics,smartwatch,5200,3.7
P184,fashion,sneakers,2178,3.8
P29,fashion,tshirt,2629,4.1
P389,grocery,oil,801,4.4
P125,daily_essential,shampoo,338,3.9
P346,electronics,charger,1084,3.5
P331,fashion,jeans,1048,4.9
P498,daily_essential,toothpaste,694,4.2
P369,daily_essential,toothpaste,112,3.5
P70,fashion,jeans,1392,3.8
P237,electronics,charger,603,4.7
P387,luxury,watch,12589,4.7
P480,daily_essential,shampoo,629,4.3
P405,daily_essential,shampoo,224,4.7
P279,grocery,oil,475,3.9
P337,luxury,missing,4885,4.6
P84,electronics,headphones,5781,4.9
P127,fashion,sneakers,943,3.8
P486,daily_essential,toothpaste,520,3.2
P434,electronics,powerbank,2106,4.8
P114,daily_essential,shampoo,253,3.2
P256,daily_essential,toothpaste,84,4.6
P447,electronics,charger,2698,3.8
P333,daily_essential,soap,60,3.7
P249,electronics,powerbank,411,4.4
P186,fashion,jacket,1193,4.1
P469,daily_essential,detergent,509,4.7
